.model,date,cash_prediction,cash_lower_ci_95,cash_upper_ci_95
NAIVE(cash),2010-05-03,85,75.02883504142034,94.97116495857966
NAIVE(cash),2010-05-04,85,70.89864328291728,99.10135671708272
NAIVE(cash),2010-05-05,85,67.7294356810896,102.2705643189104
NAIVE(cash),2010-05-06,85,65.05767008284067,104.94232991715933
NAIVE(cash),2010-05-07,85,62.703797337752,107.29620266224799
NAIVE(cash),2010-05-08,85,60.57573371036006,109.42426628963995
NAIVE(cash),2010-05-09,85,58.618777237996554,111.38122276200345
NAIVE(cash),2010-05-10,85,56.79728656583456,113.20271343416545
NAIVE(cash),2010-05-11,85,55.08650512426101,114.91349487573899
NAIVE(cash),2010-05-12,85,53.46840780562977,116.53159219437023
NAIVE(cash),2010-05-13,85,51.92938710965162,118.07061289034837
NAIVE(cash),2010-05-14,85,50.45887136217921,119.54112863782079
NAIVE(cash),2010-05-15,85,49.048453465731264,120.95154653426874
NAIVE(cash),2010-05-16,85,47.69131697798892,122.30868302201108
NAIVE(cash),2010-05-17,85,46.381844173134,123.618155826866
NAIVE(cash),2010-05-18,85,45.115340165681346,124.88465983431865
NAIVE(cash),2010-05-19,85,43.8878336653185,126.11216633468149
NAIVE(cash),2010-05-20,85,42.695929848751845,127.30407015124815
NAIVE(cash),2010-05-21,85,41.53669959617732,128.46330040382267
NAIVE(cash),2010-05-22,85,40.407594675504,129.59240532449599
NAIVE(cash),2010-05-23,85,39.306381810417484,130.6936181895825
NAIVE(cash),2010-05-24,85,38.23109073447881,131.7689092655212
NAIVE(cash),2010-05-25,85,37.17997276749249,132.82002723250753
NAIVE(cash),2010-05-26,85,36.151467420720124,133.8485325792799
NAIVE(cash),2010-05-27,85,35.14417520710168,134.85582479289832
NAIVE(cash),2010-05-28,85,34.15683530294971,135.8431646970503
NAIVE(cash),2010-05-29,85,33.18830704326881,136.81169295673118
NAIVE(cash),2010-05-30,85,32.23755447599311,137.7624455240069
NAIVE(cash),2010-05-31,85,31.303633378924026,138.69636662107598
