.model,date,cash_prediction,cash_lower_ci_95,cash_upper_ci_95
arima,2010-05-03,254.23767115171304,1.806943840369468,1104.4914671693941
arima,2010-05-04,354.03907355258133,2.16743213140096,1307.5189853753368
arima,2010-05-05,426.5870506480089,10.95794022704594,1443.8244314705473
arima,2010-05-06,174.01563248522095,17.240826557223766,932.3987088147932
arima,2010-05-07,390.56856260788214,5.852052716551006,1376.8933429007884
arima,2010-05-08,274.3724092868209,0.6076441858998397,1149.7454447893172
arima,2010-05-09,335.9103176450036,0.9685520199119599,1272.46035367167
arima,2010-05-10,226.58990642008203,6.965133167944044,1072.2324740909426
arima,2010-05-11,389.4191363819357,4.15941480348906,1400.851204748403
arima,2010-05-12,379.4918800309592,3.1909036956121346,1381.9652031543264
arima,2010-05-13,217.97310732214,8.58682756941935,1053.531733862881
arima,2010-05-14,361.7414888161663,1.7563183206727726,1347.8990060996803
arima,2010-05-15,256.7341098414143,2.7932996448165426,1136.8472668260326
arima,2010-05-16,375.4133414151893,2.826920914006073,1374.172108704393
arima,2010-05-17,307.52391164959164,0.38982147973408565,1274.281253499597
arima,2010-05-18,362.67816321408355,0.7752433408376885,1384.416133924339
arima,2010-05-19,374.52681044360577,1.4138713602090998,1407.4748003640123
arima,2010-05-20,286.9328322042988,1.4994984792892097,1232.2012167663179
arima,2010-05-21,364.24161874212837,0.8491312231782685,1387.469157098088
arima,2010-05-22,318.75055428508847,0.09612811915057583,1297.2400312880363
arima,2010-05-23,356.3118314315477,0.5077873971684076,1371.950926302937
arima,2010-05-24,319.10880491529326,0.13153900006439634,1302.4820832736139
arima,2010-05-25,364.21401208069994,0.7356422403834079,1392.1172727405158
arima,2010-05-26,364.7030396755953,0.7577769214592409,1393.0731932492304
arima,2010-05-27,312.807645341769,0.2919533110785265,1289.7482281919588
arima,2010-05-28,359.21227418539416,0.5273667898887171,1382.322072400399
arima,2010-05-29,328.2462187029472,0.011909220799175864,1320.9054190045943
arima,2010-05-30,360.2547394063551,0.5680362441836694,1384.3663333880259
arima,2010-05-31,339.1415950374618,0.024212192099953986,1345.1284030584768
