.model,date,cash_prediction,cash_lower_ci_95,cash_upper_ci_95
arima,2010-05-03,66.43677539434819,18.327115392507068,114.54643539618931
arima,2010-05-04,72.71792992356266,24.558803880005428,120.8770559671199
arima,2010-05-05,13.674788891531893,-34.87502277826623,62.22460056133002
arima,2010-05-06,5.29799525314691,-43.25634287637171,53.85233338266553
arima,2010-05-07,97.6340457070469,48.78851948075865,146.47957193333514
arima,2010-05-08,88.29034174961402,39.358455515835075,137.22222798339294
arima,2010-05-09,64.98892439669068,15.92427978477346,114.0535690086079
arima,2010-05-10,66.44444270861878,14.833545012782025,118.05534040445554
arima,2010-05-11,72.72702276567323,21.07703322927076,124.37701230207568
arima,2010-05-12,13.663860696240702,-38.33220195547079,65.65992334795219
arima,2010-05-13,5.294414372182275,-46.70709846338964,57.29592720775419
arima,2010-05-14,97.64556997600278,45.39037485045531,149.90076510155023
arima,2010-05-15,88.28863274704725,35.95253136577236,140.62473412832213
arima,2010-05-16,64.97914107294031,12.530193906543005,117.42808823933761
arima,2010-05-17,66.4502292791583,11.632295645729158,121.26816291258743
arima,2010-05-18,72.7334551634686,17.883097078477014,127.58381324846019
arima,2010-05-19,13.65579888420066,-41.50797676190645,68.81957453030776
arima,2010-05-20,5.292024222989602,-49.87777117145432,60.46181961743353
arima,2010-05-21,97.65396287426447,42.257240668973324,153.0506850795556
arima,2010-05-22,88.28718932249363,32.81419833685686,143.7601803081304
arima,2010-05-23,64.97210194605287,9.400026543758031,120.54417734834772
arima,2010-05-24,66.45458792323967,8.65609274061353,124.25308310586581
arima,2010-05-25,72.73799897036011,14.911551015871524,130.5644469248487
arima,2010-05-26,13.649856605863002,-44.465254038652716,71.76496725037872
arima,2010-05-27,5.290442736705899,-52.83099736694939,63.41188284036119
arima,2010-05-28,97.6600713195443,39.331497955145444,155.98864468394316
arima,2010-05-29,88.28599444575991,29.885139651182897,146.68684924033693
arima,2010-05-30,64.9670411419784,6.476978770823813,123.45710351313298
arima,2010-05-31,66.45786503638509,5.859178468119865,127.05655160465031
